config,model,scheme,fold,criterion,rule,test_recorded_hours,threshold,tuning_sens,tuning_fa,criterion_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,rf,loo,chb05,realtime_alert,szcore,38.00222222222222,0.58,0.6153846153846154,1.5807499780451393,False,1.0,169.88480205835916,5.0,269.0,5.0,False
Full-18,rf,loo,chb05,realtime_alert,ali,38.00222222222222,0.56,0.07692307692307693,1.8968999736541672,False,0.8,204.61961288813518,4.0,324.0,5.0,False
Full-18,rf,loo,chb19,medication_titration,szcore,28.92888888888889,0.63,0.6923076923076923,4.569420035149385,True,1.0,0.0,3.0,0.0,3.0,True
Full-18,rf,loo,chb19,medication_titration,ali,28.92888888888889,0.55,0.11538461538461539,4.92091388400703,False,0.0,2.4888615762789983,0.0,3.0,3.0,False
Full-18,rf,loo,chb19,realtime_alert,szcore,28.92888888888889,0.8,0.2692307692307692,1.757469244288225,False,1.0,0.0,3.0,0.0,3.0,True
Full-18,rf,loo,chb19,realtime_alert,ali,28.92888888888889,0.65,0.07692307692307693,1.757469244288225,False,0.0,2.4888615762789983,0.0,3.0,3.0,False
Full-18,rf,loo,chb17,medication_titration,szcore,20.42888888888889,0.79,0.35714285714285715,4.951613695534705,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb17,medication_titration,ali,20.42888888888889,0.59,0.07142857142857142,4.951613695534705,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb17,realtime_alert,szcore,20.42888888888889,0.87,0.32142857142857145,1.7684334626909661,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb17,realtime_alert,ali,20.42888888888889,0.84,0.0,1.7684334626909661,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb23,medication_titration,szcore,26.555555555555557,0.64,0.7307692307692307,4.415629928158402,True,0.5714285714285714,3.615062761506276,4.0,4.0,7.0,False
Full-18,rf,loo,chb23,medication_titration,ali,26.555555555555557,0.57,0.15384615384615385,4.731032065884002,False,0.0,1.807531380753138,0.0,2.0,7.0,False
