config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Full-18,lr,5fold,realtime_alert,23,944.87,183,0.5507073844030366,0.41530054644808745,41.80872943730325,0.0,0.04632152588555858,0.16630434782608697,0.07246033625384797,0.9888512281935332,459,9450,838177,2301
Full-18,lr,loo,realtime_alert,23,944.87,183,0.567167011732229,0.43169398907103823,32.613856985113834,4.3478260869565215,0.08045977011494253,0.16485507246376813,0.1081402257872846,0.9938652260959124,455,5200,842427,2305
Full-18,mlp,5fold,realtime_alert,23,944.87,183,0.7461438923395446,0.6666666666666666,56.71864692193084,8.695652173913043,0.046858500527983106,0.2572463768115942,0.07927646270656542,0.9829618452456093,710,14442,833185,2050
Full-18,mlp,loo,realtime_alert,23,944.87,183,0.8222624798711756,0.7377049180327869,94.9967485391945,4.3478260869565215,0.04542525773195876,0.2554347826086957,0.07713347921225382,0.9825217931944121,705,14815,832812,2055
Full-18,rf,5fold,realtime_alert,23,944.87,183,0.2854037267080745,0.16939890710382513,1.7526138099477062,17.391304347826086,0.5427350427350427,0.04601449275362319,0.08483633934535738,0.9998737652292813,127,107,847520,2633
Full-18,rf,loo,realtime_alert,23,944.87,183,0.49177018633540376,0.30601092896174864,3.9878314226346356,17.391304347826086,0.5645472061657033,0.10615942028985507,0.17871302226288505,0.9997333732880147,293,226,847401,2467
Glass-2,baseline_always_seizure,5fold,medication_titration,23,945.45,183,1.0,1.0,282.5060788076723,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_always_seizure,loo,medication_titration,23,945.45,183,1.0,1.0,282.5060788076723,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_never_seizure,5fold,medication_titration,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,baseline_never_seizure,loo,medication_titration,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,lr,5fold,medication_titration,23,945.45,183,0.19492753623188405,0.12021857923497267,8.732329149954108,8.695652173913043,0.06876971608832808,0.07898550724637682,0.07352445193929175,0.9965194712709,218,2952,845195,2542
Glass-2,lr,loo,medication_titration,23,945.45,183,0.4264406487232574,0.31693989071038253,11.651567092525976,8.695652173913043,0.16963226571767498,0.1036231884057971,0.1286549707602339,0.9983493427436517,286,1400,846747,2474
Glass-2,mlp,5fold,medication_titration,23,945.45,183,0.5788302277432712,0.4371584699453552,23.785443062520347,26.08695652173913,0.06949053289088425,0.1289855072463768,0.09032094380312065,0.9943795120421342,356,4767,843380,2404
Glass-2,mlp,loo,medication_titration,23,945.45,183,0.6638745111571198,0.5191256830601093,29.776227014233047,13.043478260869565,0.1616294349540079,0.1782608695652174,0.16953824948311508,0.9969910876298567,492,2552,845595,2268
Glass-2,rf,5fold,medication_titration,23,945.45,183,0.3915919024614677,0.31693989071038253,6.396938795896614,21.73913043478261,0.2961608775137112,0.058695652173913045,0.0979739945570003,0.9995460692545042,162,385,847762,2598
Glass-2,rf,loo,medication_titration,23,945.45,183,0.3918737060041408,0.273224043715847,6.473092829181097,21.73913043478261,0.33070866141732286,0.06086956521739131,0.10281517747858017,0.9995991260948869,168,340,847807,2592
Glass-2,baseline_always_seizure,5fold,realtime_alert,23,945.45,183,1.0,1.0,282.5060788076723,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_always_seizure,loo,realtime_alert,23,945.45,183,1.0,1.0,282.5060788076723,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_never_seizure,5fold,realtime_alert,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,baseline_never_seizure,loo,realtime_alert,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,lr,5fold,realtime_alert,23,945.45,183,0.19492753623188405,0.12021857923497267,7.361556550833405,8.695652173913043,0.06721536351165981,0.07101449275362319,0.06906272022551092,0.9967930087590948,196,2720,845427,2564
Glass-2,lr,loo,realtime_alert,23,945.45,183,0.316243961352657,0.23497267759562843,8.63079043890813,13.043478260869565,0.14182692307692307,0.0641304347826087,0.08832335329341316,0.9987372471988936,177,1071,847076,2583
Glass-2,mlp,5fold,realtime_alert,23,945.45,183,0.5293823326432022,0.3879781420765027,23.328518862813446,21.73913043478261,0.061386138613861385,0.11231884057971014,0.0793854033290653,0.9944113461463637,310,4740,843407,2450
Glass-2,mlp,loo,realtime_alert,23,945.45,183,0.6530049459397285,0.4972677595628415,28.98930200362672,8.695652173913043,0.15516661056883205,0.16702898550724637,0.16087942767405342,0.9970406073475471,461,2510,845637,2299
Glass-2,rf,5fold,realtime_alert,23,945.45,183,0.3324591672417759,0.2568306010928962,4.772319419160966,8.695652173913043,0.28640776699029125,0.042753623188405795,0.07440100882723832,0.9996533619761668,118,294,847853,2642
Glass-2,rf,loo,realtime_alert,23,945.45,183,0.29981884057971014,0.20218579234972678,4.137702475123604,8.695652173913043,0.2996632996632997,0.0322463768115942,0.058227019954203464,0.9997547594933426,89,208,847939,2671
Glass-4,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Glass-4,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Glass-4,lr,5fold,medication_titration,23,944.87,183,0.30724637681159417,0.17486338797814208,15.925925490394373,8.695652173913043,0.05611446456516879,0.09094202898550724,0.06940412000553021,0.9950190354955658,251,4222,843405,2509
Glass-4,mlp,5fold,medication_titration,23,944.87,183,0.5391821946169771,0.40437158469945356,39.75131322562551,21.73913043478261,0.04466357308584687,0.1673913043478261,0.07051282051282051,0.9883415700538091,462,9882,837745,2298
Glass-4,rf,5fold,medication_titration,23,944.87,183,0.3777950310559007,0.24043715846994534,5.283241629987288,21.73913043478261,0.34104046242774566,0.0641304347826087,0.10795974382433669,0.999596520639385,177,342,847285,2583
Glass-4,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Glass-4,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Glass-4,lr,5fold,realtime_alert,23,944.87,183,0.2927536231884058,0.16939890710382513,15.41792148751098,0.0,0.054997717937015064,0.08731884057971015,0.06748809857182862,0.9951145963967641,241,4141,843486,2519
Glass-4,mlp,5fold,realtime_alert,23,944.87,183,0.5391821946169771,0.40437158469945356,39.75131322562551,13.043478260869565,0.04466357308584687,0.1673913043478261,0.07051282051282051,0.9883415700538091,462,9882,837745,2298
Glass-4,rf,5fold,realtime_alert,23,944.87,183,0.3239648033126294,0.19672131147540983,3.2004252181653765,4.3478260869565215,0.39570552147239263,0.04673913043478261,0.08360337005832794,0.999767586450172,129,197,847430,2631
Glass-7,baseline_always_seizure,5fold,medication_titration,23,916.87,179,1.0,1.0,282.490835388428,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_always_seizure,loo,medication_titration,23,916.87,179,1.0,1.0,282.490835388428,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_never_seizure,5fold,medication_titration,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,baseline_never_seizure,loo,medication_titration,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,lr,5fold,medication_titration,23,916.87,179,0.3746376811594203,0.2681564245810056,18.768155019783443,8.695652173913043,0.043965961835997935,0.12486268766019773,0.06503289787355773,0.9909842982099911,341,7415,815039,2390
Glass-7,lr,loo,medication_titration,23,916.87,179,0.5599378881987578,0.44692737430167595,18.13993225761496,21.73913043478261,0.16858389527965092,0.15562065177590625,0.16184310738766183,0.9974515292040649,425,2096,820358,2306
Glass-7,mlp,5fold,medication_titration,23,916.87,179,0.6115481941568898,0.44692737430167595,22.851602973878585,21.73913043478261,0.15792079207920792,0.23361406078359576,0.18845074582779503,0.9958635984504909,638,3402,819052,2093
Glass-7,mlp,loo,medication_titration,23,916.87,179,0.7250805152979065,0.6033519553072626,55.676242297181844,8.695652173913043,0.09921740283857275,0.273892347125595,0.14566699123661148,0.9917430032561092,748,6791,815663,1983
Glass-7,rf,5fold,medication_titration,23,916.87,179,0.5452380952380952,0.3854748603351955,5.601652962668977,21.73913043478261,0.5862068965517241,0.19919443427316003,0.2973490024596884,0.9995331045870043,544,384,822070,2187
Glass-7,rf,loo,medication_titration,23,916.87,179,0.596195652173913,0.4245810055865922,6.858098487005944,39.130434782608695,0.5236406619385343,0.16221164408641522,0.24769359798714005,0.9995100029910488,443,403,822051,2288
Glass-7,baseline_always_seizure,5fold,realtime_alert,23,916.87,179,1.0,1.0,282.490835388428,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_always_seizure,loo,realtime_alert,23,916.87,179,1.0,1.0,282.490835388428,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_never_seizure,5fold,realtime_alert,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,baseline_never_seizure,loo,realtime_alert,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,lr,5fold,realtime_alert,23,916.87,179,0.3234989648033126,0.24022346368715083,18.035228463920213,4.3478260869565215,0.03824343927205592,0.10618820944708898,0.05623424471592011,0.9911326347734949,290,7293,815161,2441
Glass-7,lr,loo,realtime_alert,23,916.87,179,0.5285973084886129,0.41899441340782123,17.825820876530717,17.391304347826086,0.1556642216788916,0.13987550347857927,0.14734811957569915,0.9974807101673772,382,2072,820382,2349
Glass-7,mlp,5fold,realtime_alert,23,916.87,179,0.6115481941568898,0.44692737430167595,22.851602973878585,17.391304347826086,0.15792079207920792,0.23361406078359576,0.18845074582779503,0.9958635984504909,638,3402,819052,2093
Glass-7,mlp,loo,realtime_alert,23,916.87,179,0.7250805152979065,0.6033519553072626,55.676242297181844,8.695652173913043,0.09838024429102496,0.27132918344928597,0.1444022215726396,0.9917430032561092,741,6791,815663,1990
Glass-7,rf,5fold,realtime_alert,23,916.87,179,0.4657349896480331,0.329608938547486,2.015548028623884,30.434782608695652,0.7274633123689728,0.12705968509703405,0.2163341645885287,0.9998419364487254,347,130,822324,2384
Glass-7,rf,loo,realtime_alert,23,916.87,179,0.5240424430641822,0.3463687150837989,4.3190314899083235,30.434782608695652,0.5232974910394266,0.10692054192603442,0.1775615688659167,0.9996765776566228,292,266,822188,2439
