config,model,scheme,fold,criterion,rule,test_recorded_hours,t_star,percentile_flagged,threshold_test,tuning_sens,tuning_fa,ceiling_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Glass-2,rf,5fold,3,medication_titration,ali,175.02666666666667,0.68,0.0021681371566071787,0.8966666666666666,0.0,4.601965109284139,True,0.0,2.605317284985145,0,19,35,False
Glass-2,rf,5fold,3,realtime_alert,szcore,175.02666666666667,0.86,0.0003947764186885903,0.9533333333333334,0.42857142857142855,1.4888710647683978,True,0.34285714285714286,4.662146720499733,12,34,35,False
Glass-2,rf,5fold,3,realtime_alert,ali,175.02666666666667,0.82,0.0006704932825345899,0.94,0.0,1.7595748947262884,True,0.0,0.8227317742058352,0,6,35,False
Glass-2,rf,5fold,4,medication_titration,szcore,177.31555555555556,0.83,0.00020380533678831904,0.9,0.0,3.773310235395164,True,0.4,0.13535191497894525,14,1,35,False
Glass-2,rf,5fold,4,medication_titration,ali,177.31555555555556,0.57,0.004148894356047923,0.43333333333333335,0.0,4.402195274627691,True,0.11428571428571428,7.0382995789051535,4,52,35,False
Glass-2,rf,5fold,4,realtime_alert,szcore,177.31555555555556,0.88,8.734514433785102e-05,0.9466666666666667,0.0,1.5722125980813184,True,0.2857142857142857,0.13535191497894525,10,1,35,False
Glass-2,rf,5fold,4,realtime_alert,ali,177.31555555555556,0.66,0.0018342480310948714,0.5633333333333334,0.0,1.5722125980813184,True,0.05714285714285714,3.113094044515741,2,23,35,False
Glass-2,rf,loo,chb16,medication_titration,szcore,19.0,0.95,0.0007790322295076162,0.69,0.5714285714285714,4.716686044109749,True,0.1,11.368421052631579,1,9,10,False
Glass-2,rf,loo,chb16,medication_titration,ali,19.0,0.89,0.0022308650208627194,0.5266666666666666,0.3333333333333333,3.8243400357646613,True,0.0,6.315789473684211,0,5,10,False
Glass-2,rf,loo,chb16,realtime_alert,szcore,19.0,0.98,0.00022426685394916223,0.7733333333333333,0.47619047619047616,1.019824009537243,True,0.0,5.052631578947369,0,4,10,False
Glass-2,rf,loo,chb16,realtime_alert,ali,19.0,0.93,0.0010741201952301981,0.6566666666666666,0.14285714285714285,1.7846920166901752,True,0.0,3.7894736842105265,0,3,10,False
Glass-2,rf,loo,chb10,medication_titration,szcore,48.022222222222226,0.96,0.0004574594481260047,0.9766666666666667,0.25,3.842659364258439,True,0.8571428571428571,0.0,6,0,7,True
Glass-2,rf,loo,chb10,medication_titration,ali,48.022222222222226,0.88,0.0024842589474620533,0.84,0.2,4.94056203976085,True,0.5714285714285714,0.9995372512725589,4,2,7,False
Glass-2,rf,loo,chb10,realtime_alert,szcore,48.022222222222226,0.98,0.00015248648270866822,0.99,0.2,1.784091847691418,True,0.5714285714285714,0.0,4,0,7,False
Glass-2,rf,loo,chb10,realtime_alert,ali,48.022222222222226,0.93,0.0010546981720682886,0.9533333333333334,0.1,1.784091847691418,True,0.14285714285714285,2.498843128181397,1,5,7,False
