config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Best-4,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-4,lr,5fold,medication_titration,23,944.87,183,0.10600414078674947,0.060109289617486336,10.566483259974577,0.0,0.1000822593912805,0.1322463768115942,0.11393788044326518,0.9961280138551509,365,3282,844345,2395
Best-4,mlp,5fold,medication_titration,23,944.87,183,0.16770186335403728,0.09836065573770492,47.21897206801139,4.3478260869565215,0.03023966543348882,0.20434782608695654,0.05268320022418383,0.9786616046916863,564,18087,829540,2196
Best-4,rf,5fold,medication_titration,23,944.87,183,0.13812111801242236,0.08196721311475409,4.470435225373859,8.695652173913043,0.20153291253381425,0.16195652173913044,0.17959019686621133,0.9979106375799732,447,1771,845856,2313
Best-4,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-4,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-4,lr,5fold,realtime_alert,23,944.87,183,0.09979296066252587,0.0546448087431694,8.73766884959436,0.0,0.09909596662030598,0.10326086956521739,0.10113555713271824,0.9969432309258671,285,2591,845036,2475
Best-4,mlp,5fold,realtime_alert,23,944.87,183,0.1383022774327122,0.08196721311475409,46.10136326166792,0.0,0.02929816817479585,0.1923913043478261,0.05085232714039456,0.9792444082125746,531,17593,830034,2229
Best-4,rf,5fold,realtime_alert,23,944.87,183,0.05838509316770186,0.03278688524590164,2.0828164118219115,0.0,0.32228915662650603,0.11630434782608695,0.17092651757188496,0.999203659156681,321,675,846952,2439
Best-7,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-7,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
