threshold,recorded_hours,tp_szcore,fp_szcore,ref_true_szcore,sens_szcore,fa_per_day_szcore,tp_ali,fp_ali,ref_true_ali,sens_ali,fa_per_day_ali,config,n_subjects
0.44286,944.8744444444444,99,2717,183,0.5409836065573771,69.01234379170894,43,3399,183,0.23497267759562843,86.33528029003266,Best-7,23
0.51429,944.8744444444444,89,2290,183,0.48633879781420764,58.16645833014851,37,2784,183,0.20218579234972678,70.71415720136832,Best-7,23
0.58571,944.8744444444444,82,1903,183,0.44808743169398907,48.33658087435485,34,2326,183,0.18579234972677597,59.08086553533862,Best-7,23
0.65714,944.8744444444444,75,1556,183,0.4098360655737705,39.52271142432798,27,2061,183,0.14754098360655737,52.349812497133655,Best-7,23
0.72857,944.8744444444444,69,1225,183,0.3770491803278688,31.115245176607825,24,1935,183,0.13114754098360656,49.149387278968284,Best-7,23
0.8,944.8744444444444,67,981,183,0.366120218579235,24.917596341430432,20,1919,183,0.1092896174863388,48.742984076661564,Best-7,23
0.85355,944.8744444444444,65,825,183,0.3551912568306011,20.955165118939963,14,1534,183,0.07650273224043716,38.96390702115625,Best-7,23
0.89277,944.8744444444444,57,718,183,0.3114754098360656,18.23734370351381,13,920,183,0.07103825136612021,23.36818413263608,Best-7,23
0.92148,944.8744444444444,53,658,183,0.2896174863387978,16.713331694863633,10,365,183,0.0546448087431694,9.271073052621924,Best-7,23
0.94251,944.8744444444444,48,554,183,0.26229508196721313,14.071710879869988,7,163,183,0.03825136612021858,4.140232623499654,Best-7,23
0.9579,944.8744444444444,46,425,183,0.25136612021857924,10.795085061272102,6,74,183,0.03278688524590164,1.8796148106685544,Best-7,23
0.96918,944.8744444444444,41,324,183,0.22404371584699453,8.229664846710968,5,45,183,0.0273224043715847,1.1430090064876344,Best-7,23
0.97743,944.8744444444444,40,218,183,0.2185792349726776,5.537243631428985,5,20,183,0.0273224043715847,0.5080040028833931,Best-7,23
0.98347,944.8744444444444,34,128,183,0.18579234972677597,3.2512256184537156,4,16,183,0.02185792349726776,0.40640320230671445,Best-7,23
0.9879,944.8744444444444,31,82,183,0.16939890710382513,2.0828164118219115,3,11,183,0.01639344262295082,0.2794022015858662,Best-7,23
0.99114,944.8744444444444,27,50,183,0.14754098360655737,1.2700100072084828,2,11,183,0.01092896174863388,0.2794022015858662,Best-7,23
0.99351,944.8744444444444,23,18,183,0.12568306010928962,0.45720360259505377,2,8,183,0.01092896174863388,0.20320160115335723,Best-7,23
0.99525,944.8744444444444,23,18,183,0.12568306010928962,0.45720360259505377,2,8,183,0.01092896174863388,0.20320160115335723,Best-7,23
0.99652,944.8744444444444,23,18,183,0.12568306010928962,0.45720360259505377,2,8,183,0.01092896174863388,0.20320160115335723,Best-7,23
0.99745,944.8744444444444,20,7,183,0.1092896174863388,0.17780140100918757,0,6,183,0.0,0.15240120086501793,Best-7,23
0.99813,944.8744444444444,20,7,183,0.1092896174863388,0.17780140100918757,0,6,183,0.0,0.15240120086501793,Best-7,23
0.99863,944.8744444444444,20,7,183,0.1092896174863388,0.17780140100918757,0,6,183,0.0,0.15240120086501793,Best-7,23
0.999,944.8744444444444,20,7,183,0.1092896174863388,0.17780140100918757,0,6,183,0.0,0.15240120086501793,Best-7,23
